filename,dprove,pdr,iimc,IC3
lfsr_002_111_080.aig,35.09,7.48,102.01,32.27
a128test0016.aig,0.02,0.04,0.04,0.0
mult_ub_4x4_1.sf.aig,0.05,0.09,0.08,0.01
intel034.aig,timeout,2280.25,3070.02,1404.82
innfeed_innfeed_vc37038.aig,0.74,1.35,48.87,0.52
nnrpd_nnrpd_vc21660.aig,0.88,1.81,83.86,1.0
lfsr_004_143_112.aig,2125.05,1207.71,timeout,timeout
a630test0067.aig,0.03,0.04,0.04,0.0
smulov2bw016.aig,0.06,0.09,0.77,0.04
minandmaxor032.aig,7.58,132.48,10.13,23.18
bin_libmsrpc_vc1232045.aig,0.82,0.97,60.22,1.95
convert-jpg2gif-query-1458.aig,0.16,0.23,22.02,0.1
6s20.aig,failed,timeout,timeout,1280.36
bin_libmsrpc_vc1225254.aig,1.14,1.3,95.24,2.09
ext_con_040_004_0256.aig,timeout,768.61,timeout,timeout
problem_1.aig,0.59,0.07,20.19,0.01
bin_libsmbsharemodes_vc6188.aig,2.07,1.19,89.19,1.88
ext_con_012_256_1024.aig,timeout,6.02,243.73,16.63
convert-jpg2gif-query-1240.aig,0.04,0.04,0.07,0.0
mentorbm1p02.aig,21.5,0.18,42.95,0.61
convert-jpg2gif-query-1648.aig,0.06,0.04,0.09,0.0
beemskbn2b1.aig,failed,timeout,1488.45,timeout
ext_con_016_004_0512.aig,97.71,41.3,timeout,timeout
bobtuttt.aig,failed,timeout,233.97,timeout
bin_eventlogadm_vc352375.aig,4.57,3.47,159.42,6.32
convert-jpg2gif-query-1590.aig,0.36,0.53,41.85,0.29
ext_con_020_002_0032.aig,0.26,0.14,0.98,0.33
bin_eventlogadm_vc331090.aig,1.04,0.75,20.99,1.68
convert-jpg2gif-query-1599.aig,0.35,0.61,44.94,0.57
beembrptwo1f1.aig,failed,114.37,5.47,153.52
nnrpd_nnrpd_vc21650.aig,0.77,1.31,86.39,0.65
a176test0022.aig,0.02,0.03,0.03,0.0
bin_libsmbsharemodes_vc7713.aig,3.05,2.68,150.91,5.78
bin_libsmbsharemodes_vc7697.aig,2.97,5.39,176.81,3.0
bin_libsmbclient_vc1225746.aig,1.0,1.13,54.23,1.54
bin_eventlogadm_vc352379.aig,67.01,4.0,174.72,5.68
ext_con_004_128_1024.aig,0.84,0.72,11.05,2.44
convert-jpg2gif-query-1601.aig,0.37,0.63,51.58,0.48
beemprng2b1.aig,0.21,1.17,28.0,1.54
bin_eventlogadm_vc352381.aig,405.36,1.84,151.29,2.69
beemelpln1b1.aig,0.22,0.26,0.27,21.11
bin_libsmbsharemodes_vc6249.aig,1.28,0.98,56.99,2.26
a487test0002.aig,0.04,0.04,0.04,0.0
ext_con_008_016_0256.aig,0.09,0.65,286.95,0.97
convert-jpg2gif-query-1621.aig,0.06,0.03,0.13,0.0
innd_innd_vc33754.aig,0.72,1.14,122.06,0.83
a4test0001.aig,0.03,0.03,0.03,0.0
ext_con_004_064_0512.aig,0.11,0.15,1.25,0.4
smulov3bw0256.aig,0.07,0.04,0.06,0.0
convert-jpg2gif-query-1572.aig,0.4,0.69,47.58,0.34
bin_libsmbclient_vc1228435.aig,1.68,4.07,153.86,6.74
bin_libmsrpc_vc1225324.aig,0.77,0.95,66.07,0.81
bin_libsmbsharemodes_vc6345.aig,1.26,1.03,64.59,3.68
bin_libmsrpc_vc1225847.aig,2.05,2.27,84.29,2.42
a621test0086.aig,0.04,0.03,0.03,0.0
lfsr_004_111_112.aig,494.0,165.1,1568.95,321.38
bin_eventlogadm_vc331024.aig,0.68,0.57,16.99,0.27
bin_libmsrpc_vc1232013.aig,1.26,1.18,52.33,1.33
bin_libsmbsharemodes_vc6286.aig,1.26,1.2,68.59,4.43
a61test0015.aig,0.03,0.03,0.04,0.0
a388test0040.aig,0.08,0.04,0.04,0.0
innfeed_innfeed_vc36602.aig,1.0,0.79,103.45,0.59
convert-jpg2gif-query-1398.aig,0.05,0.04,0.05,0.0
isqrt.aig,118.77,268.22,2759.31,1313.63
srg5ptimo.aig,0.1,0.05,0.1,0.0
mutexp0.aig,0.07,0.09,0.12,0.02
a662test0038.aig,0.07,0.04,0.03,0.0
bin_libsmbsharemodes_vc5721.aig,0.99,0.8,69.71,0.7
beemadd5f1.aig,failed,1.46,8.09,42.79
ext_con_028_001_0128.aig,0.1,0.15,0.44,0.24
convert-jpg2gif-query-1177.aig,0.2,0.13,16.1,0.04
src_wget_vc18181.aig,104.77,2.17,46.61,0.65
