filename,dprove,pdr,iimc,IC3
139442p1.aig,0.12,0.57,1.01,0.49
139443p5.aig,0.18,1.27,1.03,0.64
139444p22.aig,0.17,16.79,1.76,12.1
139452p0.aig,0.1,0.42,0.07,0.14
139453p0.aig,0.14,0.76,0.08,0.28
139462p0.aig,0.15,0.44,0.05,0.31
139464p0.aig,0.36,2.18,0.13,0.74
6s109.aig,59.39,56.95,492.22,551.62
6s120.aig,3.77,0.93,5.01,0.89
6s130.aig,failed,timeout,202.96,timeout
6s131.aig,failed,timeout,294.93,timeout
6s134.aig,failed,timeout,2119.6,timeout
6s20.aig,failed,timeout,timeout,1280.36
6s202b41.aig,8.82,timeout,38.07,timeout
6s204b16.aig,19.63,timeout,33.5,timeout
6s205b20.aig,9.89,timeout,104.3,timeout
6s206rb103.aig,1.42,1.44,2.0,4.97
6s207rb28.aig,0.74,731.53,26.61,1319.21
6s209b0.aig,0.32,0.16,0.47,5.29
6s210b037.aig,0.71,0.46,1.16,1.33
6s215rb0.aig,0.09,0.78,26.56,7.78
6s216rb0.aig,0.09,3.33,23.63,94.03
6s218b2950.aig,failed,timeout,676.1,timeout
6s221rb14.aig,1.96,1.29,5.38,50.38
6s269r.aig,failed,3147.01,timeout,1297.67
6s271rb079.aig,614.73,0.75,55.54,22.18
6s275rb318.aig,0.18,0.73,1.48,7.96
6s276rb342.aig,1.2,0.18,0.75,12.4
6s281b35.aig,81.83,1823.16,99.99,timeout
6s288r.aig,3183.19,13.43,879.23,775.39
6s290.aig,failed,67.09,timeout,timeout
6s292rb037.aig,1.58,timeout,42.88,timeout
6s310r.aig,failed,timeout,timeout,516.73
6s319r.aig,failed,timeout,534.21,timeout
6s343b08.aig,596.58,529.15,3318.17,timeout
6s344rb054.aig,0.64,0.32,4.61,1.05
6s344rb150.aig,0.55,3.5,5.13,87.72
6s355rb08740.aig,0.95,0.44,0.77,1.67
6s372rb26.aig,14.24,2.42,45.95,6.21
6s374b029.aig,3.88,timeout,289.01,timeout
6s374b114.aig,2.98,1.65,2.16,17.5
6s38.aig,failed,timeout,timeout,709.76
6s380b511.aig,0.38,1.03,3.18,8.47
6s384rb024.aig,0.92,0.37,0.35,3.39
6s389b02.aig,0.27,0.18,31.13,0.04
6s391rb379.aig,0.73,0.07,0.25,0.15
6s4.aig,failed,timeout,184.48,timeout
6s400rb07819.aig,0.71,0.3,0.83,1.26
6s403rb1342.aig,2.09,0.95,2.5,3.64
6s404rb1.aig,2578.66,7.17,2343.48,293.01
6s404rb4.aig,3205.46,9.33,timeout,1020.17
6s406rb067.aig,10.55,0.66,timeout,7.61
6s41.aig,failed,timeout,507.97,timeout
6s421rb083.aig,0.42,0.52,1.02,0.72
6s428rb098.aig,failed,2092.58,299.02,timeout
6s515rb1.aig,0.28,0.06,0.64,0.05
BBB-32.aig,0.34,1.04,6.98,0.8
VS3-benchmark-A6.aig,1108.76,1101.67,timeout,timeout
VS3-benchmark-A7.aig,960.99,214.3,timeout,timeout
VS3-benchmark-S1.aig,2121.35,1941.15,timeout,timeout
Y86_btnft.aig,1285.53,1083.0,2464.77,545.5
Y86_std.aig,906.78,1102.27,1824.74,426.47
a100test0001.aig,0.06,0.03,0.04,0.0
a101test0002.aig,0.03,0.04,0.04,0.0
a114test0001.aig,0.02,0.04,0.04,0.0
a115test0002.aig,0.08,0.03,0.04,0.0
a116test0003.aig,0.06,0.04,0.05,0.0
a121test0001.aig,0.03,0.04,0.03,0.0
a122test0002.aig,0.03,0.03,0.04,0.0
a123test0003.aig,0.03,0.03,0.04,0.0
a124test0004.aig,0.02,0.03,0.04,0.0
a127test0009.aig,0.03,0.03,0.06,0.0
a128test0016.aig,0.02,0.04,0.04,0.0
a12test0001.aig,0.03,0.04,0.03,0.0
a13test0002.aig,0.04,0.04,0.03,0.0
a163test0021.aig,0.04,0.04,0.05,0.0
a164test0005.aig,0.05,0.04,0.04,0.0
a165test0010.aig,0.16,0.04,0.04,0.0
